Colony,Fragment,Experiment
78,1-B,Bleaching2
78,2-B,Bleaching2
78,3-B,Control-BuoyantWeight
78,4-B,Bleaching2
78,9-B,Control-BuoyantWeight
78,10-B,Bleaching2
78,12-B,Control-BuoyantWeight
78,13-B,Bleaching2
78,15-B,Not used
93,19-B,Control-BuoyantWeight
93,21-B,Bleaching2
93,22-B,Control-BuoyantWeight
93,23-B,Bleaching2
93,24-B,Bleaching2
93,26-B,Bleaching2
93,28-B,Bleaching2
93,29-B,Bleaching2
43,31-B,Not used
43,32-B,Bleaching2
43,33-B,Control-BuoyantWeight
43,34-B,Bleaching2
43,35-B,Not used
43,37-B,Bleaching2
43,38-B,Bleaching2
43,39-B,Not used
43,40-B,Not used
43,41-B,Bleaching2
43,42-B,Not used
44,44-B,Bleaching2
44,46-B,Bleaching2
44,47-B,Bleaching2
44,48-B,Bleaching2
44,52-B,Bleaching2
44,56-B,Bleaching2
44,57-B,Bleaching2
86,58-B,Not used
86,59-B,Bleaching2
86,63-B,Not used
86,64-B,Control-BuoyantWeight
86,066-B,Not used
86,68-B,Bleaching2
86,69-B,Not used
86,70-B,Bleaching2
86,71-B,Bleaching2
86,72-B,Control-BuoyantWeight
86,73-B,Bleaching2
86,74-B,Not used
86,75-B,Not used
86,76-B,Not used
86,77-B,Bleaching2
99,78-B,Bleaching2
99,79-B,Bleaching2
99,82-B,Control-BuoyantWeight
99,83-B,Bleaching2
99,84-B,Not used
79,85-B,Bleaching2
99,86-B,Bleaching2
99,87-B,Not used
99,88-B,Bleaching2
99,89-B,Control-BuoyantWeight
99,90-B,Not used
99,92-B,Not used
99,94-B,Bleaching2
99,96-B,Control-BuoyantWeight
99,97-B,Bleaching2
39,98-B,Bleaching2
39,99-B,Bleaching2
39,302-B,Control-BuoyantWeight
39,303-B,Bleaching2
39,304-B,Bleaching2
39,310-B,Bleaching2
39,312-B,Bleaching2
83,313-B,Control-BuoyantWeight
83,316-B,Bleaching2
83,317-B,Control-BuoyantWeight
83,320-B,Bleaching2
83,321-B,Not used
83,322-B,Not used
83,323-B,Bleaching2
83,324-B,Bleaching2
83,325-B,Control-BuoyantWeight
83,326-B,Bleaching2
83,327-B,Not used
83,330-B,Bleaching2
83,331-B,Bleaching2
83,332-B,Bleaching2
91,338-B,Bleaching2
88,342-B,Not used
88,343-B,Bleaching2
88,344-B,Not used
88,345-B,Not used
88,346-B,Bleaching2
88,347-B,Control-BuoyantWeight
88,348-B,Not used
88,350-B,Bleaching2
88,352-B,Not used
88,353-B,Not used
88,357-B,Bleaching2
88,358-B,Not used
88,360-B,Not used
88,361-B,Bleaching2
43,362-B,Bleaching2
43,365-B,Not used
43,366-B,Bleaching2
43,367-B,Control-BuoyantWeight
43,369-B,Not used
43,370-B,Not used
43,372-B,Control-BuoyantWeight
43,373-B,Not used
43,374-B,Bleaching2
43,376-B,Not used
43,377-B,Bleaching2
37,379-B,Control-BuoyantWeight
37,380-B,Bleaching2
37,381-B,Control-BuoyantWeight
37,382-B,Bleaching2
37,386-B,Bleaching2
37,388-B,Bleaching2
37,389-B,Bleaching2
37,392-B,Not used
37,393-B,Not used
37,395-B,Control-BuoyantWeight
41,400-B,Not used
41,401-B,Bleaching2
41,402-B,Control-BuoyantWeight
41,405-B,Bleaching2
41,406-B,Control-BuoyantWeight
41,407-B,Bleaching2
41,408-B,Not used
41,409-B,Bleaching2
41,410-B,Not used
41,413-B,Not used
41,416-B,Not used
82,421-B,Bleaching2
82,422-B,Not used
82,424-B,Bleaching2
82,425-B,Control-BuoyantWeight
82,427-B,Bleaching2
82,429-B,Control-BuoyantWeight
82,430-B,Bleaching2
82,432-B,Control-BuoyantWeight
82,434-B,Bleaching2
82,435-B,Bleaching2
82,436-B,Control-BuoyantWeight
82,437-B,Not used
31,438-B,Bleaching2
31,440-B,Bleaching2
31,442-B,Bleaching2
31,443-B,Not used
31,444-B,Control-BuoyantWeight
31,445-B,Bleaching2
31,446-B,Control-BuoyantWeight
